mandt,spras,dimid,txdim,operation_flag,is_deleted,recordstamp
250,E,MOLMAS,Molar Mass,L,False,2022-01-31 20:43:45.861987+00:00
000,E,PROPOR,Proportion,L,False,2022-01-31 20:43:45.861987+00:00
001,E,PROPOR,Proportion,L,False,2022-01-31 20:43:45.861987+00:00
050,E,PROPOR,Proportion,L,False,2022-01-31 20:43:45.861987+00:00
100,E,PROPOR,Proportion,L,False,2022-01-31 20:43:45.861987+00:00
200,E,PROPOR,Proportion,L,False,2022-01-31 20:43:45.861987+00:00
250,E,PROPOR,Proportion,L,False,2022-01-31 20:43:45.861987+00:00
000,D,TEMP,Temperatur,L,False,2022-01-31 20:43:45.861987+00:00
001,D,TEMP,Temperatur,L,False,2022-01-31 20:43:45.861987+00:00
050,D,TEMP,Temperatur,L,False,2022-01-31 20:43:45.861987+00:00
100,D,TEMP,Temperatur,L,False,2022-01-31 20:43:45.861987+00:00
200,D,TEMP,Temperatur,L,False,2022-01-31 20:43:45.861987+00:00
250,D,TEMP,Temperatur,L,False,2022-01-31 20:43:45.861987+00:00
000,E,CAPACI,Capacitance,L,False,2022-01-31 20:43:45.861987+00:00
001,E,CAPACI,Capacitance,L,False,2022-01-31 20:43:45.861987+00:00
050,E,CAPACI,Capacitance,L,False,2022-01-31 20:43:45.861987+00:00
100,E,CAPACI,Capacitance,L,False,2022-01-31 20:43:45.861987+00:00
200,E,CAPACI,Capacitance,L,False,2022-01-31 20:43:45.861987+00:00
250,E,CAPACI,Capacitance,L,False,2022-01-31 20:43:45.861987+00:00
000,D,MASFLO,Massenstrom,L,False,2022-01-31 20:43:45.861987+00:00
001,D,MASFLO,Massenstrom,L,False,2022-01-31 20:43:45.861987+00:00
050,D,MASFLO,Massenstrom,L,False,2022-01-31 20:43:45.861987+00:00
100,D,MASFLO,Massenstrom,L,False,2022-01-31 20:43:45.861987+00:00
200,D,MASFLO,Massenstrom,L,False,2022-01-31 20:43:45.861987+00:00
250,D,MASFLO,Massenstrom,L,False,2022-01-31 20:43:45.861987+00:00
000,E,TEMP,Temperature,L,False,2022-01-31 20:43:45.861987+00:00
001,E,TEMP,Temperature,L,False,2022-01-31 20:43:45.861987+00:00
050,E,TEMP,Temperature,L,False,2022-01-31 20:43:45.861987+00:00
100,E,TEMP,Temperature,L,False,2022-01-31 20:43:45.861987+00:00
200,E,TEMP,Temperature,L,False,2022-01-31 20:43:45.861987+00:00
250,E,TEMP,Temperature,L,False,2022-01-31 20:43:45.861987+00:00
000,D,PROPOR,Verhältnis,L,False,2022-01-31 20:43:45.861987+00:00
001,D,PROPOR,Verhältnis,L,False,2022-01-31 20:43:45.861987+00:00
050,D,PROPOR,Verhältnis,L,False,2022-01-31 20:43:45.861987+00:00
100,D,PROPOR,Verhältnis,L,False,2022-01-31 20:43:45.861987+00:00
200,D,PROPOR,Verhältnis,L,False,2022-01-31 20:43:45.861987+00:00
250,D,PROPOR,Verhältnis,L,False,2022-01-31 20:43:45.861987+00:00
000,E,ACCEL,Acceleration,L,False,2022-01-31 20:43:45.861987+00:00
001,E,ACCEL,Acceleration,L,False,2022-01-31 20:43:45.861987+00:00
050,E,ACCEL,Acceleration,L,False,2022-01-31 20:43:45.861987+00:00
